restaurant_name,location,cuisine,michelin_stars,google_rating,total_google_reviews,reviewer,rating,review_text,date,language
Jek Tod,"Bangkok, Thailand",Noodles,0,4.4,152,Bee Kit,5,"Ordered the dry Tom Yum noodles and the minced pork in plum soup — both were absolutely delicious! The Tom Yum was quite spicy, so if you’re sensitive to heat, make sure to ask for a milder version. Can’t wait to come back!",4 months ago,en
Jek Tod,"Bangkok, Thailand",Noodles,0,4.4,152,glen chua,5,"Just had lunch at this casual eatery called Jek Tod, the food is very fresh and tasty (aroi makk)! Had the soy sauce pork with minced meat balls and rice, plum soup with minced meat and the rice noodles with soy sauce pork, pork balls and minced meat balls! Do stop by and have a try, you wont be disappointed! Highly recommended!",4 months ago,en
Jek Tod,"Bangkok, Thailand",Noodles,0,4.4,152,Pipe Warawuth,3,"As a Tom Yum noodle lover, I have mixed feelings about this place.

I ordered 2 Tom Yum soups, one with noodles and one without. Both had top-tier ingredients, the meatballs were some of the best I've ever had. It would have been a 5 star experience for sure, but the soups were different. The one without noodles was really, really sour, while the one with noodles was perfect. That made a big difference for me. The dried rice porridge was above average, with perfectly cooked ingredients.",a year ago,en
Jek Tod,"Bangkok, Thailand",Noodles,0,4.4,152,NIKKI AMD,5,"Noodles lover, ranked this place as one of my favorites. A special menu  is really good. Not only noodles are good but dried rice porridge so nice. Taste and meats so great and along together. Thr offal, intestine or liver no bad smell.",9 months ago,en
Foong,"Bangkok, Thailand",Thai,0,4.3,109,Navin Khanijow,5,"The food is truly something special — authentic Thai flavors but presented in such a thoughtful way. Every dish in the set menu was perfectly balanced; highlights for me were the crab curry with pickled bamboo shoots and the crispy fried fish with fish sauce.

You can tell a lot of love and preparation goes into the cooking here, and it feels like recipes passed down through generations. The atmosphere is warm and intimate, which made the evening even more enjoyable. It’s definitely not a place for walk-ins, but that makes it even more unique — everything is prepared fresh for the group.

Worth every baht, and I’d happily come back again with family or close friends. Highly recommended if you want to experience Thai food that’s both comforting and elevated.",3 weeks ago,en
Foong,"Bangkok, Thailand",Thai,0,4.3,109,Oilleriiz,5,"Foong, a newly opened Thai restaurant in Thonglor Soi 19, offers a vintage-inspired setting that complements its traditional Thai recipes. The restaurant serves an 8-person Thai set menu (9,900 THB, reservation only) with a carefully curated selection of dishes.

Highlights include Foong Miang (a twist on miang kham with fish and toasted rice), fruit salad with fermented shrimp paste, stir-fried jackfruit with crispy chicken skin, and crispy salted fish rice salad. Mains feature chu chee soft-shell fish, southern-style crab & roe curry, and sweet garlic squid stir-fry. For dessert, sago pearls in fresh coconut milk provide a perfect sweet finish.

The intimate setting and well-executed dishes make it a great spot for those looking for an elevated Thai dining experience.",4 months ago,en
Foong,"Bangkok, Thailand",Thai,0,4.3,109,Makara Thanva,4,"Foong offers a cozy, family-style Thai dining experience in a warm, inviting setting. The food is good and comforting, but not particularly memorable—I expected a bit more given the hype.

Service was friendly but a bit confused at times, which took away from the overall flow. If you’re after a casual, homey meal with a group, it’s a decent choice, but don’t expect to be blown away.",5 months ago,en
Foong,"Bangkok, Thailand",Thai,0,4.3,109,Taz Tatt,4,"Foong is a charming Thai restaurant offering authentic home-cooked dishes in a warm and welcoming atmosphere. Parking can be a bit tricky—once the spots in front of the restaurant are full, you’ll need to park at a rental lot further away. Thankfully, the restaurant provides a shuttle service to and from the parking area. On the day I visited, it was pouring rain, which made getting to the restaurant a bit of a challenge.

The meal is served as a set, featuring around 10 traditional Thai dishes. The flavors are bold, rich, and authentically Thai, with high-quality, fresh ingredients. Each dish is crafted with care, making it a must-visit for anyone who loves authentic Thai cuisine.

If you’re looking for a delicious and satisfying Thai dining experience, Foong is a place you shouldn’t miss!",9 months ago,en
Foong,"Bangkok, Thailand",Thai,0,4.3,109,Ke Yang,5,"Baan Suan Aromdee is a true gem! This intimate, home-style restaurant, with limited tables, truly captures the essence of Thai home cooking. Reservations are highly recommended. They offer a set menu, but are wonderfully accommodating to dietary preferences – just communicate your needs.
While slightly pricier than your average Thai eatery, the exceptional quality and variety of dishes justify every baht. Expect fresh, vibrant flavors that taste like they came straight from a family kitchen.
Parking is limited to two cars; however, they kindly suggest a nearby larger parking lot and offer a pick-up service or a short walk. The warmth and hospitality are truly unmatched. This is a must-try for authentic, heartfelt Thai cuisine.",7 months ago,en
Poondang Kaengron,"Chiang Mai, Thailand",Thai,0,4.8,1041,Nuthavooth Hoven,4,Old thai style food. Very good vibe Food is small portions but very good test. It a bit far from town. You need to come by car. Price is Mid to high price class. Have a lot of old traditions thai food that you can’t find elsewhere in this time.,3 months ago,en
